text,topic,type,label,Predicted
"Antifa, short for “anti-fascist,” is an amorphous movement whose adherents oppose people or groups they consider authoritarian or racist, often using aggressive tactics, according to the Anti-Defamation League (ADL)",blm,nan,0,XXX
"Washington continues to operate just as it always has, filling the coffers of the Pentagon as though “national security” were nothing but a matter of war and more war.",vaccines,nan,0,XXX
Wikipedia’s coverage of other contentious political topics such as abortion were also criticized with Sanger singling out Wikipedia claiming abortion is “one of the safest procedures in medicine.”,marriage-equality,nan,0,XXX
"In recent weeks, Saks’ problems have been compounded by widespread U.S. protests that included some incidents of looting after worldwide outrage at a white police officer killing George Floyd, a black man, by kneeling on his neck for more than eight minutes.",blm,center,1,XXX
"China’s second-quarter economic growth slowed to its weakest pace in at least 27 years, in line with expectations, as demand at home and abroad cooled in the face of a bruising trade war with the United States.",taxes,center,1,XXX
The Republican Party has been taken over by ideological extremists.,marriage-equality,nan,0,XXX
"At its core, a complicated set of welfare programs and tax breaks generate sizable incentives for many low-income Americans not to increase their incomes and improve their station in life.",taxes,nan,0,XXX
"Hundreds of white nationalists lined the streets of Charlottesville, Va., last Saturday to protest the removal of a Confederate monument. Some waved Confederate and Nazi flags, others brandished shields.",white-nationalism,left,1,XXX
Some contend that Wahhabism and Saudi Arabia are being used as scapegoats when in fact the real causes of Islamist terrorism are far more complex.,islam,nan,0,XXX
"Doubling down, Rapaport — a raging left-wing Trump hater — tweeted “Singing slave owners.”",gun control,right,1,XXX
"Despite several battlefield setbacks, Russia still controls about a fifth of Ukrainian territory.",international-politics-and-world-news,nan,0,XXX
"But as Norr discovered on her walk last summer, eco therapy can become complicated for people with more acute climate trauma.",environment,nan,0,XXX
"A tanker truck drove through thousands of people marching on a Minneapolis highway to protest the death of George Floyd on Sunday before protesters dragged the driver from the cab and beat him, according to a Reuters witness and authorities.",blm,center,1,XXX
"On the following day, the government’s spokesperson, Ali Bahadori Jahromi, said the intelligence and education ministries were trying to establish the cause of the poisonings.",islam,nan,0,XXX
"The new North American trade deal addresses most concerns of U.S. labor unions, Richard Trumka, head of the AFL-CIO union federation, said on Thursday, but even so he expects it could take more than a decade to reverse job losses resulting from the original 25-year-old trade pact.",taxes,center,1,XXX
"While the piece fairly analyzes the fracturing of the white nationalist movement, it makes the bizarre claim that ideas that are widely popular amongst mainstream conservatives, such as ending affirmative action, are actually white nationalist in origin.",white-nationalism,right,1,XXX
NBA players once again will be sharing personal stories this weekend during All-Star festivities — and using basketball shoes as a platform to get their message out.,sport,center,1,XXX
Privacy advocates on Monday raised concerns over reports that Indian security forces used facial recognition technology to identify dissidents at a political rally in December and warned that if left unchecked the government would continue to suppress dissent.,islam,nan,0,XXX
"Here, for example, is a tweet video of woke hipsters saluting protesters—and getting their windows smashed with rocks. ",blm,right,1,XXX
"Like legions of other first-time buyers who are contributing to record sales for the U.S. gun industry this year, Garland’s decision to take up arms is driven in part by disturbing news about the coronavirus pandemic, social unrest over police killings of Black people and a potentially contested election that many fear could spark violence.",gun control,center,1,XXX
"As much as our society tries, we cannot cleanly separate the physical from the metaphysical during reproduction.",abortion,nan,0,XXX
"It’s paramount now, as Fox News and the right-wing noise machine try to take down a new generation of Democratic women leaders, that everyone understands the strategy in play.",gender,left,1,XXX
House and Senate Democrats are responding to the coronavirus outbreak in the United States by supporting measures to effectively strip President Trump of his authority to impose travel bans to protect American citizens.,coronavirus,right,1,XXX
They found that many disadvantaged white students reject the notion of their grand privileges and resented the key confessional component of white privilege education.,white-nationalism,right,1,XXX
First lady Melania Trump led an array of Americans making the case at the Republican National Convention on Tuesday for re-electing President Donald Trump over Democrat Joe Biden in November.,blm,center,1,XXX
"Opposition to immunizations was once largely limited to online bullying, but now opponents are increasingly taking their harassment tactics into the real world: aggressively following legislators and doctors and, in some cases, using physical violence.",vaccines,left,1,XXX
"Furthermore, the president has repeatedly and infamously made sweeping, overtly bigoted comments about minority populations",islam,nan,0,XXX
"This could partly be down to the implosion of the UK’s Gender Identity Development Service at Tavistock, with the government announcing last year that it would be shuttering the clinic after a report deemed it as being unsafe for the children it was treating.",gender,nan,0,XXX
Some people hate Trump and mock everything from his geography gaffes to his appearance. They’ve done the same thing with Rush. All of this mockery and vitriol is just an attempt to thwart their real success in revolutionizing American culture and politics.,trump-presidency,right,1,XXX
"While conservatives may find comfort in the old saw that those who aren’t liberal at 20 have no heart, and those who aren’t conservative at 40 have no brain, the truth, as Levin knows, is that those who are statists at 20 usually end up statists at 40. And he’s not content to allow time to take its uncertain political toll. ",student-debt,right,1,XXX
"Not surprisingly, Bernie Sanders has been among the most vocal, lamenting the lack of centralized control in the American healthcare system.",universal health care,right,1,XXX
"While New York state no longer uses capital punishment, Gendron still could receive a death sentence if convicted of pending federal hate crime and firearms charges to which he has pleaded not guilty.",gun control,nan,0,XXX
But the self-righteous red-state politicians should stop yapping about bailouts and remember what the blue states have done for them these past many years. ,taxes,left,1,XXX
"House Democrats introduced a sweeping policing reform measure on Thursday named for George Floyd, in an effort to take action after his death and the resulting worldwide protests over racism and police brutality.",blm,nan,0,XXX
"A 10-hour hearing broadcast on the court’s website showed Sun, China's greatest ever swimmer, and one of its biggest sports stars, to be evasive at times under questioning that was hampered by severe translation issues between Chinese and English.",sport,right,1,XXX
"""Orange Is the New Black"" star Yael Stone is renouncing her U.S. green card to return to her native Australia in order to fight climate change.",environment,right,1,XXX
"Unfortunately, as the number of recommended childhood vaccines has nearly tripled, the likelihood of on-time and successful completion of vaccination series is reduced.",vaccines,right,1,XXX
"Radical Virginia Citizens Defense League has organized a rally in Richmond for January 20, and the event is already attracting out-of-state pro-gun folks, including a potential horde of white nationalists.",gun control,left,1,XXX
"People want to come here because: (1) So many nations around the globe are hellish and a number of those are within walking distance, (2) This is a place where people with a good work ethic can get ahead and enjoy the blessings of liberty, (3) Our immigration laws and rules are confusing.",immigration,nan,0,XXX
"Critics argue that the Movement for Black Lives needs to tighten control of its messaging, discipline its local affiliates and shore up its “brand.”",blm,nan,0,XXX
The legislation ends criminal penalties for self-abortion and – in the case of an unborn baby who is the victim of a homicide – defines “person” as “a human being who has been born and is alive.”,abortion,right,1,XXX
"The result was a mess: car manufacturers, which had already begun taking steps to comply with the Obama-era tough fuel-efficiency standards for the auto industry, faced the prospect of having to make different vehicles to sell in different parts of the country.",environment,left,1,XXX
"In practical terms, Trump wants to make the transition from dramatically curtailing refugee admissions to effectively ending refugee admissions.",immigration,left,1,XXX
"Rowling has come under fire for speaking out on trans issues, including raising concerns that trans rights are eroding women’s rights to single-sex spaces and suggesting young women are being rushed into medical transition.",#metoo,center,1,XXX
"Reuters photographer Dylan Martinez heard the words ring out during chaotic scenes in London on Saturday, when mostly peaceful anti-racist demonstrations turned into violent scuffles with counter-protesters in the area.",blm,center,1,XXX
The U.S. government said on Monday the deadline for signing-up for 2020 insurance plans under the Affordable Care Act (ACA) has been extended by three days to Dec. 18 to accommodate those who experienced issues while attempting to enroll.,universal health care,center,1,XXX
US researchers working frantically to test potential COVID-19 vaccines are facing a critical shortage of one essential resource — monkeys.,vaccines,nan,0,XXX
"But the Democratic majority in the House has already passed sweeping gun legislation, in addition to many other measures.",gun control,left,1,XXX
And they aren’t alone.,environment,nan,0,XXX
"The wave of violence started as protests against the death of George Floyd, a black man who died in May at the hands of police in Minneapolis, and quickly devolved into mob rule in cities across America.",gun control,right,1,XXX
"The suggestion that the use of the phrase ""ladies and gentlemen"" is a real threat to transgender individuals downplays their actual struggle for acceptance in modern America.",gender,right,1,XXX
Trump's comments came during a mega-rally in the world's largest cricket stadium — part of an elaborate Indian welcome for a president who revels in pomp and pageantry.,international-politics-and-world-news,right,1,XXX
Protests against police violence sweep across small-town America,blm,nan,0,XXX
"Jerry Falwell Jr., the shamelessly greedy president of Liberty University, has spent weeks downplaying the coronavirus threat, accusing the media of wildly exaggerating it to ""destroy the American economy"" and of course to damage Donald Trump.",vaccines,nan,0,XXX
"As Obamacare demonstrated, leftists are willing to take the electoral hit for imposing an unpopular policy if they believe that policy will socially engineer a more compliant American public in the years to come.",gun control,right,1,XXX
"Yet MLB, with an exhaustive 100+ page health and safety operations manual, will attempt to become the first major sport to return on July 23 with two nationally televised games, and the rest of the teams scheduled to start July 24.\",sport,center,1,XXX
Pence added that he views the Black Lives Matter movement as having a “political agenda of the radical left” that calls for cutting off funding for police departments and tearing down monuments.,blm,center,1,XXX
"Russia and China are working to develop a coronavirus vaccine and Beijing has handed over the genome of the virus to Moscow, a Russian diplomatic mission in China said on Wednesday.",vaccines,nan,0,XXX
"China has quietly allowed its currency, the yuan, to slide to its weakest level against the U.S. dollar in over a decade as the Trump administration ratcheted up attacks on Beijing over its crackdown on Hong Kong and handling of the COVID-19 outbreak.",islam,nan,0,XXX
"Home Secretary Priti Patel said that in response to the surge of illegal migrants, the government will look into how to speed up the deportation process, possibly to be modelled on Australia’s uncompromising system which saw a steep decline in illegal migration under the Commonwealth’s “stop the boats” policy.",immigration,right,1,XXX
Pro-Trump fanatics are violently attacking protesters — and Fox News wants them to go further,gun control,left,1,XXX
"The conservative Club for Growth Action group launched NeverTrumperChrisJacobs.com and launched an ad, claiming that Jacobs campaigned with Never Trump Republican Bill Weld as well as refusing to back President Donald Trump in 2016.",universal health care,right,1,XXX
"Gay sex remains banned under a British colonial-era law, while dressing as the opposite sex is illegal.",blm,nan,0,XXX
"For far too many on the left, chaos is the point. Destruction is the goal. They prefer the unknown madness that lies ahead to whatever is still managing to (barely) hold us together in the present.",elections-2020,right,1,XXX
"Still, gun-control advocates believe momentum is on their side.",gun control,center,1,XXX
"We speak with Varshini Prakash, founder of the Sunrise Movement, a youth-led climate group that has occupied and lobbied at congressional offices, risking arrest to demand adoption of the Green New Deal and bold climate leadership.",environment,left,1,XXX
"he conservative Club for Growth Action group launched NeverTrumperChrisJacobs.com and launched an ad, claiming that Jacobs campaigned with Never Trump Republican Bill Weld as well as refusing to back President Donald Trump in 2016. ",taxes,right,1,XXX
"Though the state remains a hothouse for high-tech and media startups, thousands of companies left the state due to its high taxes, heavy regulations, and litigious environment.",taxes,right,1,XXX
"Warren has laid out a series of proposals including ones to end college debt, create universal child care and fight the opioid epidemic that she says she’d fund by taxing the mega wealthy through a $2.75 trillion tax on American households making more than $50 million annually.",middle-class,center,1,XXX
"""Mr. Chairman, I have to tell you, this is the most extraordinary thing I have seen in my brief time in the Senate,"" Hawley said, addressing Sen. Gary Peters, D-Mich. ""I have never seen a witness blatantly lie under oath like Dr. Shogan has just done to this committee, stonewalled this committee and just repeatedly refused to answer my questions about her own posts that are in public.""",elections-2020,nan,0,XXX
"Biden, a top contender for the 2020 Democratic nomination, would roll back some of the 2017 tax cuts. ",taxes,center,1,XXX
"As tempting as it is to believe there’s a consolation prize for a Biden-Harris win, this argument ignores one of the key truisms of politics: Politicians seek power, and leftist ones especially.",vaccines,nan,0,XXX
"Further, the Trump Tax Cuts and Jobs Act also repealed the Obamacare individual mandate, which serves as a giant middle-class tax cut. ",middle-class,right,1,XXX
"More than 1 in 4 black households report they sometimes miss or are late on their debt payments, compared with approximately 1 in 7 white households. ",student-debt,left,1,XXX
"The 49ers donated $1 million toward social injustice causes earlier this year, and in 2016, they matched a donation by former quarterback and social justice advocate Colin Kaepernick.",marriage-equality,nan,0,XXX
"Opposition Labour Party leader Jeremy Corbyn said on Thursday he would look at ways to help those who have already incurred large debts from university tuition fees, and would not sell off student loans to private companies.",student-debt,center,1,XXX
are guaranteed to vote for them.,blm,nan,0,XXX
The free health care for DACA illegal aliens provision is just one of many major changes to the nation’s immigration system.,universal health care,right,1,XXX
SCOTUS grants Trump his ObamaCare wish: High court will not review case to kill health care law before election,universal health care,left,1,XXX
Big-money donors seem to have activated their astroturf groups to get people out in the streets to make sure that Trump feels the pressure from his beloved base to open up the economy.,universal health care,left,1,XXX
Gun-control activists have reported a growing number of online death threats as lawmakers have passed gun control legislation ahead of the rally.,gun control,center,1,XXX
"As the number of Americans eligible for the Medicaid low-income health insurance program grows through expansion under the Affordable Care Act (ACA), some states are aiming to trim the rolls by requiring recipients to work or satisfy related criteria. ",universal health care,center,1,XXX
"Mnuchin aroused controversy last week after he told reporters at the World Economic Forum in Davos, Switzerland, that he did not consider the outspoken Thunberg to be a legitimate critic of fossil fuel investments.",environment,left,1,XXX
"China has ample capability to make COVID-19 vaccine and will prioritise supplies to developing countries when they are ready, the foreign ministry added.",vaccines,nan,0,XXX
The mother of a nine-year-old girl believed to be the first child in Ecuador to get official recognition for a gender change said she hoped this would set a precedent for other transgender youngsters.,#metoo,center,1,XXX
Health care’s $3.5 trillion bloated economy is unsustainable.,universal health care,nan,0,XXX
"The idea of exposing your child to something that could potentially harm her, and in a catastrophic way, is terrifying.",vaccines,right,1,XXX
Racist Rep. Steve King (R-Iowa) said generations of people would not be here without rape and incest while making the case for anti-abortion legislation without exceptions for victims of those crimes.,abortion,left,1,XXX
"Some people have expressed concern that full cancellation could reward wealthier—and whiter—people, who are less in need than others. But full cancellation will reduce the racial wealth gap. ",student-debt,left,1,XXX
"It was not Republican governors ignoring expert advice to ""reopen"" states in time for Memorial Day, nor Trump's constant blasting of lockdown orders, nor Trump's partisan contempt for mask usage, nor the party's anti-science ravings about the basics of pandemic spread.",universal health care,left,1,XXX
"Joe Biden can count among his many celebrity activists, Cardi B, who has told New York police “fuck you,” said Minnesota rioters had “no choice but to loot and steal after George Floyd’s death, and has revealed herself as a gun control advocate.",gun control,right,1,XXX
The premise is that babies bond with their mothers in utero and become familiar with their behaviors.,abortion,nan,0,XXX
"Loeffler blamed leftist media, especially the Daily Beast, for perpetuating narratives that she might have violated statutes against insider trading. She continued, noting that the media created the narrative against her because, like President Donald Trump, she is a political outsider.",elections-2020,right,1,XXX
"The Democratic Party’s electorate is less enthusiastic about the 2020 election than their Republican counterparts, according to a HuffPost/YouGov survey, a split in attitudes that existed before the coronavirus pandemic caused voters of all ideological and partisan stripes to become less gung-ho about casting ballots in November.",elections-2020,left,1,XXX
"Authorities say they're investigating after someone drew a swastika and wrote ""WHITE POWER"" on the sign in front of a southwest Florida junior high school.",white-nationalism,nan,0,XXX
But several incidents in recent weeks have stoked concerns among rights groups that the climate for the country’s LGBT community is deteriorating further.,blm,nan,0,XXX
"Instead of challenging the smears that America is a racist country, instead of standing up for police officers and the rule of law, even the Republican Party is taking a knee, is looking to appease, is acting as Black Lives Matter-lite with their stupid and completely unnecessary police reform ideas.",gun control,right,1,XXX
"Protesters defaced the monument early Friday with downward-facing arrows placed next to the statements “white supremacy,” “profit over People” and “the ALAMO,” according to an article by the San Antonio Express-News.",blm,right,1,XXX
Biden is embracing Cardi as his latest celebrity surrogate after she told New York police “fuck you” and said Minnesota rioters had “no choice” but to loot and steal after George Floyd’s death.,universal health care,right,1,XXX
"The documents, which were published in full on NRA Watch, a new database launched by the advocacy group Everytown for Gun Safety, allege that LaPierre has grown ""preoccupied with going to jail."" ",gun control,left,1,XXX
"The march then continued to the United States embassy, where activists sat on the roads blocking access to the embassy for about an hour.",blm,right,1,XXX
"Shelby Steele, a senior fellow at Stanford University’s Hoover Institution said Friday that the contemporary civil rights movement under the banner of “Black Lives Matter” was deeply unserious, catering to an old form of victimization that has accomplished nothing to lift up black people.",elections-2020,right,1,XXX
"As one conservative commentator put it: “We don’t object to ‘cancel culture,’ we object to the cancellation of certain acts, ideas and sensibilities that were recently uncontroversial.”",white-nationalism,nan,0,XXX
"Trump, a Republican seeking re-election on Nov. 3, has faced criticism from Democrats over his administration’s response to the outbreak.",vaccines,nan,0,XXX
"The House Wednesday overwhelmingly backed a resolution condemning President Donald Trump's decision to withdraw U.S. troops from Syria, a rare bipartisan rebuke at a time when the president is trying to shore up GOP support to stave off impeachment.",international-politics-and-world-news,center,1,XXX
"Missouri State Auditor Nicole Galloway, who is running for governor, is accused of potentially misusing Missourians’ taxpayer dollars to her advance her political career.",gun control,right,1,XXX
"Sen. Ernst’s flippancy shows how little she and other Republicans think of the grannies and grandpas, dads and moms, and working men and women who have broken their backs to pay taxes and provide for their families.",middle-class,left,1,XXX
"With this in mind, the Trump administration reportedly hopes to reduce poverty in the United States, not by making a material difference in struggling families’ finances, but by tinkering with the threshold for what counts as poverty.",middle-class,left,1,XXX
[Democrats employ] their full arsenal to delegitimize the Trump presidency for the apparent crime of winning the 2016 election.,vaccines,nan,0,XXX
"For events like wildfires encouraged by hotter and drier conditions, for example, public health experts have been zeroing on effects like heat stroke and lung damage from smoke inhalation.",environment,nan,0,XXX
The astute observer will note that China is not exactly eager to take in large numbers of migrants or refugees from beyond its borders.,white-nationalism,right,1,XXX
"That’s why white nationalists, who are enthusiasts for the abortion of black and brown people, despise pro-lifers, as anyone reporting in good faith should know.",abortion,right,1,XXX
The “OK” hand gesture is among the 36 new entries added Thursday to a database of hate symbols used by white supremacists and other far-right extremists.,white-nationalism,center,1,XXX
"U.S. health insurer Centene Corp on Wednesday said it would buy smaller rival WellCare Health Plans Inc for $15.27 billion in stock and cash, in a move to bulk up its government-backed Medicare and Medicaid businesses while reducing exposure to Obamacare healthcare exchanges.",universal health care,center,1,XXX
"The U.S. debate over restrictions for fighting the coronavirus intensified on Monday, as protesters labeled mandatory lockdowns as “tyranny,” while medical workers and health experts cautioned that lifting them too soon risked unleashing a greater disaster.",gun control,center,1,XXX
"Wray’s high-profile public comment highlights the divide within the US intelligence community about the origins of the pandemic, with some federal agencies, including the FBI and the Department of Energy, concluding that the Covid-19 virus probably originated from a lab leak in China, while others have concluded that it first spread from infected animals to humans.",coronavirus,nan,0,XXX
"Wearing an orange jumpsuit and glasses, Gendron apologized to the families of his victims, whose ages ranged from 20 to 86, expressing regret for his actions and hope that his crime will not inspire copycat attacks.",gun control,nan,0,XXX
Transgender MMA fighter Fallon Fox twice broke a female opponent’s skull to win matches and now he is being praised by some in the LGBT community.,sport,right,1,XXX
"They will not do that by making the Department of Justice even less accountable to elected officials, as Democrats are demanding. They will do it by slashing and burning the bureaucracy and its powers. Government by and for the people will perish from the earth if unelected officials are capable of weaponizing government against the people’s elected representatives.",elections-2020,right,1,XXX
"Republican Rep. Clay Higgins of Louisiana has a long and colorful track record of being a right-wing prick who has a strange preoccupation with World War II, though which side he’s most obsessed with remains debatable.",gun control,left,1,XXX
"Following this explanation of its support for Black Lives Matter, the Wikimedia Foundation called on governments to de-escalate tensions with protests, affirm and protect rights, reform the justice system, and invest in eliminating and educating on racial disparities.",marriage-equality,nan,0,XXX
"Around Bakhmut, Russian troops, including mercenary fighters from the Wagner Group, were trying to cut the Ukrainian defenders' supply lines and force them to surrender or withdraw.",international-politics-and-world-news,nan,0,XXX
"The conservative Heartland Institute released a report on Tuesday in which it criticized leading politicians, activists, and media outlets for using the coronavirus to push their environmental agenda.",environment,right,1,XXX
"Alex Berenson, a former reporter at the New York Times who has written extensively debunking fearmongering claims related to the lockdowns wrote on Twitter Thursday that the tech giant to benefit the most from pandemic stay-home orders is refused to sell his latest book.",coronavirus,right,1,XXX
"After Steve King’s offensive implication that white people own Western civilization, Chris Hayes predictably responded with an idiotic remark about Western civilization giving us Hitler.",white-nationalism,right,1,XXX
Democrat Doug Jones won a bitter fight for a US Senate seat in deeply conservative Alabama on Tuesday.,abortion,nan,0,XXX
"Earlier this month, US President Donald Trump said US special forces would be withdrawn from northern Syria, in what was widely seen as betrayal of the Kurds and a green light for a Turkish attack.",international-politics-and-world-news,right,1,XXX
Millions of Americans are counting on a COVID-19 vaccine to curb the global pandemic and return life to normal.,vaccines,nan,0,XXX
"That Sanders’ proposal lacks any sort of means-testing requirement makes it clear that he believes this is something all people deserve, but it’s unclear why, or how that’s a worthwhile investment given that it will be allocated toward those who are relatively rich (or could have been relatively rich had they not gotten a useless master’s degree that doesn’t translate into higher earnings). ",student-debt,right,1,XXX
It remains to be seen how players — whose wages span a wide spectrum in a league with no salary cap — will respond to the request following calls from government ministers to cut their often-astronomical wages.,sport,left,1,XXX
"The unemployment tax rate in Florida is already the lowest in the nation, at $50 per person per year. ",taxes,left,1,XXX
"The concept of changing one’s biological sex is, of course, nonsense, as sex is determined by unalterable chromosomes.",marriage-equality,nan,0,XXX
"It's not clear at how or why Mary Trump could have broken the law, as the president claimed, when she turned over records of her family's taxes in her possession to the New York Times.",taxes,left,1,XXX
Trump’s former homeland security adviser warns that coronavirus could become a 'fire out of control',vaccines,nan,0,XXX
"But the radical left doesn’t want you to know that history is nuanced and complex; all they want is to use it as an excuse for promoting guilt, division, self-hatred.",marriage-equality,nan,0,XXX
Drivers in Ireland will be forced to buy electric vehicles within ten years according to a new law by the left-wing government in Dublin.,environment,right,1,XXX
"But as early as this month, the U.S. Supreme Court could issue a decision that would mean the end of deferred action for Paz and hundreds of thousands of other young immigrants.",immigration,center,1,XXX
British parliamentarians overseeing the country’s official petitions process have written to Boris Johnson’s government demanding a real answer to a petition to release a buried report on the ethnicity of grooming gangs.,islam,nan,0,XXX
"If the public schools in your area are not yet polluted with social justice propaganda, great.",marriage-equality,nan,0,XXX
The U.S. House of Representatives on Tuesday approved a $1.4 trillion spending package to avert a partial government shutdown that also would raise the U.S. tobacco purchasing age to 21 and permanently repeal several of the Affordable Care Act’s (ACA) taxes.,taxes,center,1,XXX
"The devil is in the details, however, since—while some charter schools are effective in achieving student success—others have been examples of cronyism and corruption as a result of arrangements between politicians and private businesses.",student-debt,right,1,XXX
Connecticut State Police showed support for the protesters as troopers knelt along with them.,blm,right,1,XXX
"Conservative Christians exploded on social media, citing the controversy as further proof that their faith is under attack by intolerant liberals and coastal elites who care little about human life.",islam,nan,0,XXX
"Many Obama veterans don’t even remember what Biden said or thought in those internal deliberations, while Biden's advisers, past and present, say his determination to work towards universal coverage never wavered.",universal health care,nan,0,XXX
"While President Trump visited the southern border Thursday, Democratic darling Beto O’Rourke visited the dentist — posting a bizarre video showing him getting a mouth-wide-open cleaning in order to highlight the story of his dental hygienist’s upbringing in El Paso.",immigration,right,1,XXX
"While the majority of Americans seem to accept scientific information about the deadly coronavirus and are wary of reopening the country before we can be sure it’s safe, one segment of the population is driving the opposite narrative. This group is small but vocal, and represents a predictable if threatening merging of forces.",vaccines,left,1,XXX
"Sen. Elizabeth Warren's radical immigration plans involves decriminalizing illegal immigration, increasing legal immigration, and ending all detention of illegal aliens, minus those deemed to be “a flight or safety risk.”",immigration,right,1,XXX
"The Chinese Communist Party has passed a series of draconian administrative measures for religious groups, which will go into effect on February 1, 2020, bringing them completely under government control.",islam,nan,0,XXX
It was a moment where Keon stood at the apex of his white male power as the chancellor of a major university speaking at commencement.,white-nationalism,nan,0,XXX
Transgenderism’s War On Women Betrays Left’s Claims To Champion Our Rights,marriage-equality,nan,0,XXX
Now a few words for voters inclined to support dictator Donald Trump.,taxes,left,1,XXX
"Russia killed civilians in air strikes in Syria last year while rebels allied to Turkey carried out murder and pillage in Kurdish areas, U.N. investigators said on Monday - actions it said could amount to war crimes by both Moscow and Ankara.",international-politics-and-world-news,center,1,XXX
"However, China’s record of successfully producing vaccines in recent years has been so abysmal that communist state media openly admit that they prefer using international manufacturers.",vaccines,right,1,XXX
And one particularly radical idea is sure to grab the attention of young people around the country: wiping out student loan debt for the vast majority of American borrowers.,student-debt,left,1,XXX
"California Governor Gavin Newsom said on Monday he would ease the state’s stay-at-home orders by Thursday, expanding the number of retail businesses that can provide curbside services.",vaccines,nan,0,XXX
"History is on review as the 21st century's latest civil rights movement catches fire, smoldering embers fanned by the death in police hands of George Floyd on Memorial Day.",islam,nan,0,XXX
"Donald Trump, by design, is a chaos monster who shovels crap out faster than people can process it.",gun control,left,1,XXX
"Although Facebook Chief Operating Officer Sheryl Sandberg specified that her donation to Planned Parenthood Action Fund was a personal one, and not associated with Facebook, it is worth noting that in the last year the social media giant Sandberg leads has been caught censoring pro-life political ads.",abortion,right,1,XXX
"Duda’s promise to protect children from gender ideology has been described by the globalist international media as an “attack on the LGBT community”, and as the president “portraying gay people as enemies”.",marriage-equality,nan,0,XXX
"Brexit Party leader Nigel Farage blasted Boris Johnson for failing to confront the Marxist Black Lives Matter UK movement, saying that the prime minister is “trapped” by a politically correct culture.",marriage-equality,nan,0,XXX
"Next came the sob stories. Those student loans are suffocating a generation, the candidates suggested. After all, “40 million of us who can’t start a family,” the diaper-changing daddy Swalwell contradictorily proclaimed, adding that they “Can’t take a good idea and start a business and can’t buy our first home.”",student-debt,right,1,XXX
"The petition argues that Jefferson’s role in writing the Declaration of Independence makes him worthy of admiration, despite his slave ownership.",marriage-equality,nan,0,XXX
"For a fleeting moment on Tuesday, the political universe was kumbayaing in mutual disgust at Donald Trump’s meeting with Robert Kennedy Jr.",vaccines,right,1,XXX
"As the investigations mounted, LaPierre issued statements warning gun owners that their rights were under attack by lawmakers who want to make ""Americans less safe and less able to defend themselves.""",gun control,left,1,XXX
President Donald Trump touted how his reversal of Obama-era regulations on the fossil fuel industry has led to the United States being the largest producer of oil and natural gas in the world during his State of the Union address on Tuesday at the U.S. Capitol.,environment,right,1,XXX
Now researchers have offered an explanation: A study published Tuesday in the open peer-reviewed journal Proceedings of the Royal Society B finds that the microorganisms in the wax worm's gut help them consume and metabolize plastics.,environment,center,1,XXX
"Critics of the federal refugee resettlement program warn that, if elected, Hillary Clinton will flood the country with Muslim refugees.",islam,nan,0,XXX
It was at this point that Trump thought it’d be a good idea to start bragging.,gun control,left,1,XXX
"You may remember that hours after America was attacked by al Qaeda on 9/11 thousands of Muslims, regular folks celebrated in the streets.",islam,nan,0,XXX
"Within two weeks of Floyd’s passing in Minneapolis police custody, militant social justice warriors racked up an estimated $1-2 billion in damage, causing the costliest outbreak of political upheaval in U.S. history, devastating minority businesses while kicking off an entire summer of chaos engulfing the nation’s major cities and eventually spreading to the suburbs.",vaccines,nan,0,XXX
"Rep. Alexandria Ocasio-Cortez (D-NY) shared an infographic on Saturday via Instagram with guidance for protesters, which she entitled “PROTESTING SAFELY,” including a warning of “white supremacists” who “may be infiltrating these protests.”",marriage-equality,nan,0,XXX
"Everywhere he went on Monday, Trump was greeted by thousands of cheering Indian citizens, troops of traditional dancers and roadways lined with posters and billboards celebrating his visit.",international-politics-and-world-news,right,1,XXX
"Three buses arrived between 8 and 10 p.m., and thanks to the work of Migrant Solidarity Mutual Aid Network, the dazed and confused migrants were offered blankets and conveyed to local churches.",immigration,nan,0,XXX
"The Redskins tweeted the hashtag, but Ocasio-Cortez couldn’t let that happen without taking a shot at the Redskins name.",marriage-equality,nan,0,XXX
"The facts are these: with the protection of the Democrat Party and media, the marauders have been loosened. ",gun control,right,1,XXX
"I shot and killed people because they were Black.""",gun control,nan,0,XXX
"One of China’s richest men, the founder of the Alibaba retail chain, went further, pledging the personal donation of a million facemasks and 500,000 virus test kits to the United States.",vaccines,nan,0,XXX
"However, social media watchdogs are foaming at the mouth over the choice to place a teen climate activist on a panel with public health experts.",environment,right,1,XXX
Proponents of stricter protections for students argue the DOE’s recent rollback of Obama-era rules aimed at protecting students from predatory for-profit colleges will only lead to even more student failing to pay back their loans.,student-debt,left,1,XXX
"This isn’t because they’re racist — very few people are in these multicultural times — but because they recognise that BLM is a divisive, aggressive, hard-left activist group whose ultimate goal is not to bring about peace but to foment chaos and Marxist revolution.",marriage-equality,nan,0,XXX
The media and the left did their best to ignore the racial diversity of the well-armed crowd.,gun control,right,1,XXX
"Democrats Ramp Up Their War On America’s Institutions, Promising Riots If Trump Nominates A Justice",vaccines,nan,0,XXX
"For decades, Democratic administrations have been cleaning up economic messes left to them by Republican administrations.",taxes,left,1,XXX
"Floyd, 46, was killed in police custody in Minneapolis, Minnesota, on Memorial Day, setting off nationwide protests and riots and reinvigorating the Black Lives Matter movement.",blm,right,1,XXX
"Hillary Clinton tells this story to struggling students. She told it to minority students in Mississippi in November 2015,  and she recently told it again to minority students in Brooklyn.",student-debt,left,1,XXX
